Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,504,nesprávné otáèení nebo couvání ,
,505,chyby pøi udání smìru jízdy,
,506,"bezohledná, agresivní, neohleduplná jízda",
,507,"náhlé bezdùvodné sní¾ení rychlosti jízdy, zabrzdìní nebo zastavení ",
,508,øidiè se plnì nevìnoval øízení vozidla,
,509,samovolné rozjetí nezaji¹tìného vozidla,
,510,vjetí na nezpevnìnou komunikaci,
,511,nezvládnutí øízení vozidla,
,512,"jízda (vjetí) jednosmìrnou ulicí, silnicí (v protismìru)",
,513,"nehoda v dùsledku  pou¾ití (policií) prostøedkù k násilnému zastavení vozidla (zastavovací pásy, zábrana, vozidlo atp.)",
,514,nehoda v dùsledku pou¾ití slu¾ební zbranì (policií),
,515,nehoda pøi provádìní slu¾ebního zákroku (pronásledování pachatele atd.),
,516,jiný druh nesprávného zpùsobu jízdy,
,TECHNICKÁ ZÁVADA VOZIDLA,,
,601,závada øízení,
,602,závada provozní brzdy,
,603,neúèinná nebo nefungující parkovací brzda,
,604,opotøebení bìhounu plá¹tì pod stanovenou mez,
,605,defekt pneumatiky zpùsobený prùrazem nebo náhlým únikem vzduchu,
,606,"závada osvìtlovací soustavy vozidla (neúèinná, chybìjící, zneèi¹tìná apod.)",
,607,nepøipojená nebo po¹kozená spojovací hadice pro bzrdìní pøípojného vozidla,
,608,nesprávné ulo¾ení nákladu,
,609,"upadnutí, ztráta kola vozidla (i rezervního)",
,610,"zablokování kol v dùsledku mechanické závady vozidla (zadøený motor, pøevodovka, rozvodovka, spadlý øetìz apod.)",
,611,"lom závìsu kola, pru¾iny",
,612,nezaji¹tìná nebo po¹kozená boènice (i u pøívìsu),
,613,závada závìsu pro pøívìs,
,614,utr¾ená spojovací høídel,
,615,jiná technická závada (vztahuje se i na pøípojná vozidla),
13,p13,NÁSLEDKY NEHODY,STAV DO 24 HOD.
,p13a,usmrceno osob,
,p13b,tì¾ce zranìno osob,
,p13c,lehce zranìno osob,
14,p14,CELKOVÁ HMOTNÁ ©KODA,
15,p15,DRUH POVRCHU VOZOVKY,
,1,dla¾ba,
,2,¾ivice,
,3,beton,
,4,panely,
,5,¹tìrk,
,6,jiný nezpevnìný povrch,
16,p16,STAV POVRCHU VOZOVKY V DOBÌ NEHODY,
,1,povrch suchý,nezneèi¹tìný
,2,povrch suchý,"zneèi¹tìný (písek, prach, listí, ¹tìrk atd.)"
,3,povrch mokrý,
,4,na vozovce je bláto,
,5,"na vozovce je náledí, ujetý sníh ", - posypané
,6,"na vozovce je náledí, ujetý sníh ", - neposypané
,7,"na vozovce je rozlitý olej, nafta apod. ",
,8,"souvislá snìhová vrstva, rozbøedlý sníh",
,9,náhlá zmìna stavu vozovky,"(námraza na mostu, místní náledí)"
,0,jiný stav povrchu vozovky v dobì nehody,
17,p17,STAV KOMUNIKACE,
,1,"dobrý, bez závad",
,2,podélný sklon vy¹¹í ne¾ 8 '%,
,3,"nesprávnì umístìná, zneèi¹tìná, chybìjící dopravní znaèka",
,4,zvlnìný povrch v podélném smìru,
,5,souvislé výtluky,
,6,nesouvislé výtluky,
,7,trvalé zú¾ení vozovky,
,8,"pøíèná stru¾ka, hrbol, vystouplé, propadlé kolejnice",
,9,neoznaèená nebo nedostateènì oznaèená pøeká¾ka na komunikaci,
,10,pøechodná uzavírka jednoho jízdního pruhu,
,11,pøechodná uzavírka komunikace nebo jízdního pásu,
,12,jiný (neuvedený) stav nebo závada komunikace,
18,p18,POVÌTRNOSTNÍ PODMÍNKY V DOBÌ NEHODY,
,1,neztí¾ené,
,2,mlha,
,3,"na poèátku de¹tì, slabý dé¹», mrholení apod.",
,4,dé¹»,
,5,snì¾ení,
,6,"tvoøí se námraza, náledí",
,7,"nárazový vítr (boèní, vichøice apod.)",
,0,jiné ztí¾ené,
19,p19,VIDITELNOST,
,1,ve dne,viditelnost nezhor¹ená vlivem povìtrnostních podmínek
,2,ve dne,"zhor¹ená viditelnost (svítání, soumrak)"
,3,ve dne,"zhor¹ená viditelnost vlivem povìtrnostních podmínek (mlha, snì¾ení, dé¹» apod.)"
,4,v noci,"s veøejným osvìtlením, viditelnost nezhor¹ená vlivem povìtrnostních podmínek"
,5,v noci,"s veøejným osvìtlením, zhor¹ená viditelnost vlivem povìtrnostních podmínek (mlha, dé¹», snì¾ení apod.)"
,6,v noci,"bez veøejného osvìtlení, viditelnost nezhor¹ená vlivem povìtrnostních podmínek"
,7,v noci,"bez veøejného osvìtlení, viditelnost zhor¹ená vlivem povìtrnostních podmínek (mlha, dé¹», snì¾ení apod.)"
20,p20,ROZHLEDOVÉ POMÌRY,
,1,dobré,
,2,¹patné,"vlivem okolní zástavby (budovy, plné zábradlí apod.)"
,3,¹patné,"vlivem prùbìhu komunikace, nebo podéllného profilu nebo trasování (nepøehledný vrchol stoupání, záøez komunikace apod.)"
,4,¹patné,"vlivem vegetace - trvale (stromy, keøe apod.)"
,5,¹patné,"vlivem vegetace - pøechodnì (tráva, obilí apod.)"
,6,výhled zakryt stojícím vozidlem,
,0,jiné ¹patné,
21,p21,DÌLENÍ KOMUNIKACE,
,1,dvoupruhová,
,2,tøípruhová,
,3,ètyøpruhová s dìlícím pásem,
,4,ètyøpruhová s dìlící èarou,
,5,vícepruhová,
,6,rychlostní komunikace,
,0,¾ádná z uvedených,
22,p22,SITUOVÁNÍ NEHODY NA KOMUNIKACI,
,1,na jízdním pruhu,
,2,na odstavném pruhu,
,3,na krajnici,
,4,"na odboèovacím, pøipojovacím pruhu",
,5,na pruhu pro pomalá vozidla,
,6,na chodníku nebo ostrùvku,
,7,na kolejích tramvaje,
,8,mimo komunikaci,
,9,na stezce pro cyklisty,
,0,¾ádné z uvedených,
23,p23,ØÍZENÍ PROVOZU V DOBÌ NEHODY,
,1,policistou nebo jiným povìøeným orgánem,
,2,svìtelným signalizaèním zaøízením,
,3,místní úprava ,vyplní se následující polo¾ka è. 24
,0,¾ádný zpùsob øízení provozu,
24,p24,MÍSTNÍ ÚPRAVA PØEDNOSTI V JÍZDÌ,
,1,svìtelná signalilzace pøepnuta na pøeru¹ovanou ¾lutou,
,2,svìtelná signalizace mimo provoz,
,3,pøednost vyznaèena dopravními znaèkami,
,4,pøednost vyznaèena pøenosnými dopravními znaèkami nebo zaøízením,
,5,pøednost nevyznaèena - vyplývá z pravidel silníèního provozu,
,0,¾ádná místní úprava,
27,p27,SPECIFICKÁ MÍSTA A OBJEKTY V MÍSTÌ NEHODY,
,1,pøechod pro chodce,
,2,v blízkosti pøechodu pro chodce (do vzdálenosti 20 m),
,3,¾eleznièní pøejezd nezabezpeèený závorami ani svìtelným výstra¾ným zaøízením ,
,4,¾eleznièní pøejezd zabezpeèený,
,5,"most, nadjezd, podjezd, tunel",
,6,"zastávka autobusu, trolejbusu, tramvaje s nástup. ostrùvkem",
,7,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrùvku",
,8,"výjezd z parkovi¹tì, lesní cesty apod.  (pol. 36 = 7,8)",
,9,èerpadlo pohonných hmot,
,10,parkovi¹tì pøiléhající ke komunikaci,
,0,¾ádné nebo ¾ádné z uvedených,
28,p28,SMÌROVÉ POMÌRY,
,1,pøímý úsek,
,2,pøímý úsek po projetí zatáèkou ,(do vzdálenosti cca 100 m od optického konce zatáèky)
,3,zatáèka,
,4,køi¾ovatka prùseèná - ètyøramenná,
,5,køi¾ovatka styková - tøíramenná,
,6,køi¾ovatka pìti a víceramenná,
,7,kruhový objezd,
29,p29,KATEGORIE CHODCE,
,1,mu¾,
,2,¾ena,
,3,dítì (do 15 let),
,4,skupina dìtí,
,5,jiná skupina,
30,p30,STAV CHODCE,
,1,dobrý ,¾ádné nepøíznivé okolnosti nebyly zji¹tìny
,2,"nepozornost, roztr¾itost",
,3,"pod vlivem lékù, narkotik",
,4,pod vlivem alkoholu,"obsah alkoholu v krvi do 0,99 ?"
,5,fyzická indispozice ,"(nemoc, nevolnost, sní¾ená pohyblivost apod.)"
,6,"pokus o sebevra¾du, sebevra¾da",
,7,invalida,
,8,jiný neuvedený stav,
,9,pod vlivem alkoholu,obsah alkoholu v krvi 1 ? a více
,0,nezji¹tìno,
31,p31,CHOVÁNÍ CHODCE,
,1,"správné, pøimìøené ",
,2,¹patný odhad vzdálenosti a rychlosti vozidla,
,3,náhlé vstoupení do vozovky," z chodníku, krajnice"
,4,náhlé vstoupení do vozovky , z nástupního nebo dìlícího ostrùvku
,5,"zmatené, zbrklé , nerozhodné jednání ",
,6,náhlá zmìna smìru chùze,
,7,náraz do vozidla z boku,
,8,hra dìtí na vozovce,
32,p32,SITUACE V MÍSTÌ NEHODY,
,1,vstup chodce,na signál VOLNO
,2,vstup chodce,na signál STÙJ
,3,vstup chodce,do vozovky v blízkosti pøechodu (cca do 20 m)
,4,pøecházení,po vyznaèeném pøechodu
,5,pøecházení ,tìsnì pøed nebo za vozidlem stojícím v zastávce
