user_hash,lesson,category,answer
0237ac25bd2d2b8de539488c2b26d935756605777cbcaadcb7d58118c8954e45,pyqt,learn,
778d7f2723a16de2611eba04af0fb69e55853b90389037ff11a68a51a694ab91,testovani,like,B
9db631e4cfbcf7ac200d0fd161aa0908da13476844fa3d27f77fefe15105a8dd,micropython,topic,E
778d7f2723a16de2611eba04af0fb69e55853b90389037ff11a68a51a694ab91,pandas,topic,C
9db631e4cfbcf7ac200d0fd161aa0908da13476844fa3d27f77fefe15105a8dd,testovani,topic,A
8bc6531e31b2af767fc127eb5d59f13d3392d61e105581c8444a13489b1ab115,pyqt,topic,A
3e0d36c2d46234111cf47292a59cf123fb4bba9339d08a89e5cbab952c18d528,cython,like,
eef7a84c833f387555939852a59294e547be9cc389ff0836979292014e5c8ac9,numpy,like,B
26ad3dda6d3a57800d566795ab19f24433c6c856eeeb38bcdcfcbca10e6e2ab9,cython,topic,A
5f76e388548aa2dbb2acea1c87f25f93503cfc0fcbd12cf785f318ce6490f13f,cython,topic,D
eef7a84c833f387555939852a59294e547be9cc389ff0836979292014e5c8ac9,semestralka,like,B
5ae9c96e64c6b4e3bf89272eb5a5ab14d6cde6f7b5c6782468b56f3359b05811,testovani,topic,C
bd377e3114c791ea28b48c7b46bd468cf608b04a403066e0fb7015c89904bf52,dokumentace,topic,A
26ad3dda6d3a57800d566795ab19f24433c6c856eeeb38bcdcfcbca10e6e2ab9,moduly,topic,B
3e0d36c2d46234111cf47292a59cf123fb4bba9339d08a89e5cbab952c18d528,dokumentace,topic,
5ae9c96e64c6b4e3bf89272eb5a5ab14d6cde6f7b5c6782468b56f3359b05811,magie,like,
0237ac25bd2d2b8de539488c2b26d935756605777cbcaadcb7d58118c8954e45,flask,topic,A
3e0d36c2d46234111cf47292a59cf123fb4bba9339d08a89e5cbab952c18d528,pyqt,learn,
8bc6531e31b2af767fc127eb5d59f13d3392d61e105581c8444a13489b1ab115,requests-click,learn,B
5ae9c96e64c6b4e3bf89272eb5a5ab14d6cde6f7b5c6782468b56f3359b05811,pyqt,learn,
0237ac25bd2d2b8de539488c2b26d935756605777cbcaadcb7d58118c8954e45,async,learn,
10956e62c2b5cb868d22f38917a1f8cffdad701219bcb98c41a04750a9cd3856,requests-click,like,C
