user_hash,lesson,category,answer
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,numpy,like,D
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,testing,like,D
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,docs,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,async,learn,D
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,numpy,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,magic,like,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,cython,like,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,pyqt,learn,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,cython,learn,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,pyqt,learn,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,semestralka,like,C
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,flask,like,C
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,requests-click,like,B
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,cython,topic,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,magic,like,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,requests-click,topic,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,async,learn,C
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,geopython,topic,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,magic,like,C
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,numpy,like,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,pyqt,like,
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,numpy,learn,C
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,cython,like,C
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,numpy,learn,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,pyqt,topic,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,distribution,like,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,micropython,like,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,flask,like,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,micropython,learn,
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,pandas,like,B
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,semestralka,like,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,numpy,topic,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,docs,learn,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,docs,like,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,cython,like,B
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,pyqt,like,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,micropython,topic,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,magic,like,F
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,semestralka,like,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,testing,learn,B
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,numpy,learn,C
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,micropython,like,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,testing,like,B
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,requests-click,topic,B
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,async,like,C
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,semestralka,like,F
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,async,like,
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,async,like,B
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,semestralka,topic,C
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,flask,topic,A
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,pandas,topic,C
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,numpy,learn,B
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,flask,like,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,pyqt,like,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,semestralka,topic,B
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,magic,topic,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,magic,topic,
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,pyqt,like,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,requests-click,learn,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,flask,topic,B
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,async,learn,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,flask,like,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,micropython,learn,C
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,pandas,learn,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,flask,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,geopython,like,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,flask,learn,C
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,testing,learn,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,geopython,learn,C
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,numpy,like,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,numpy,learn,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,semestralka,learn,C
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,pyqt,topic,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,micropython,learn,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,semestralka,learn,B
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,geopython,like,C
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,cython,like,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,geopython,like,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,pandas,learn,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,requests-click,topic,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,async,like,
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,async,topic,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,requests-click,topic,A
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,cython,like,B
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,async,topic,B
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,semestralka,learn,C
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,flask,topic,C
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,testing,learn,B
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,requests-click,topic,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,pandas,like,A
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,semestralka,like,A
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,testing,topic,C
616b35bd96528452ed0159c628804bc395ff7f7fd686ffb71893c78d7e18bdf3,cython,learn,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,numpy,like,B
538a526f34eb208efc872e2f175d29ab6d53d1edb18992eed005502e8df17633,async,topic,A
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,geopython,learn,
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,geopython,topic,D
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,magic,like,A
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,distribution,learn,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,requests-click,learn,A
be2057631467069632ed3595431f0410841b78f22af89b202f8c4e2345e2fc75,cython,learn,A
d7b9214f8056e3ec67c7998da4b6300de8561bf1550e62193795e6e9b060e1bc,cython,topic,C
0060ce768f28deae17c58d3ca678230e1791e1bf93b9d2eca9e9d16105ead1a1,micropython,learn,C
b918d77b47f55242fe7a9e2d7ec18a44d667d4f351f47ffa10f148f5487970a5,distribution,like,A
cae1229bab7c9e864abfd0d967dd71ee3cdd108166304a885d0c0dbc2b2ceb16,semestralka,learn,
374d8d96a454e052d8806fe0bd3b0812e820ba872ac505b207e1b8bc738fe81c,flask,learn,A
1f8c534185ed091b749de6ad89e81ecf7ac56b6b6892d7d4801c07c34023924d,magic,learn,A
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,flask,learn,C
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,magic,like,
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,testing,like,C
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,numpy,topic,C
46846bd2239d6e13069ee399de58da19d944cac90849e19ff60060977476e674,requests-click,topic,E
28ae73efa07fbf12b5811db3d9ff126f8bb721ceb472508510712ed767963515,requests-click,learn,A
201ecf8055e07dfa6a28fdf14fca64f572fd0653365d91c371c0f1aa252d8e61,semestralka,learn,D
